generation,index,fitness,individual,state
4,0,0.050868124,"""0.62109405;0.015418008""","""Rt 2.8910 - Step 68"""
4,1,0.036119085,"""0.91337025;0.6076605""","""Rt 0.0000 - Step 20"""
4,2,0.029163446,"""0.29693;0.00030139834""","""Rt 2.8998 - Step 68"""
4,3,0.050291486,"""0.62109405;0.015418008""","""Rt 2.8681 - Step 68"""
4,4,0.020186942,"""0.82786167;0.48867327""","""Rt 0.0000 - Step 22"""
4,5,0.047280166,"""0.62109405;0.015418008""","""Rt 2.8939 - Step 68"""
4,6,0.044378433,"""0.8568909;0.22127396""","""Rt 0.0000 - Step 57"""
4,7,0.08628806,"""1;0.5127191""","""Rt 0.0000 - Step 26"""
4,8,0.03872871,"""0.91337025;0.50766045""","""Rt 0.0000 - Step 25"""
4,9,0.053954534,"""0.62109405;0.015418008""","""Rt 2.8950 - Step 68"""
4,10,0.051573552,"""0.91337025;0.40766045""","""Rt 0.0000 - Step 41"""
4,11,0.019257087,"""0.8143008;0.5127191""","""Rt 0.0000 - Step 25"""
4,12,0.012823398,"""0.6722031;0.3219501""","""Rt 0.0000 - Step 37"""
4,13,0.050284516,"""0.62109405;0.015418008""","""Rt 2.8966 - Step 68"""
4,14,0.038431976,"""0.8568909;0.22127396""","""Rt 0.0000 - Step 41"""
4,15,0.040726073,"""0.91337025;0.6076605""","""Rt 0.0000 - Step 21"""
4,16,0.08373028,"""1;0.6076605""","""Rt 0.0000 - Step 20"""
4,17,0.026631663,"""0.9143008;0.71271914""","""Rt 0.0000 - Step 25"""
4,18,0.0024915817,"""0.29693;0.1003014""","""Rt 0.0000 - Step 1"""
4,19,0.007682235,"""0.8177638;0.7788005""","""Rt 0.0000 - Step 18"""
4,20,0.03070814,"""0.9143008;0.6127191""","""Rt 0.0000 - Step 5"""
4,21,0.02883046,"""0.29693;0.00030139834""","""Rt 2.9043 - Step 68"""
4,22,0.005880736,"""0.8177638;0.8788005""","""Rt 0.0000 - Step 7"""
4,23,0.048916526,"""0.9143008;0.5127191""","""Rt 0.0000 - Step 30"""
4,24,0.03254146,"""0.91337025;0.6076605""","""Rt 0.0000 - Step 21"""
4,25,0.08037299,"""1;0.5127191""","""Rt 0.0000 - Step 29"""
4,26,0.008742501,"""0.8177638;0.7788005""","""Rt 0.0000 - Step 13"""
4,27,0.0143276695,"""0.6722031;0.22195011""","""Rt 0.0000 - Step 30"""
4,28,0.015142223,"""0.6722031;0.22195011""","""Rt 0.0000 - Step 51"""
4,29,0.020929685,"""0.6609134;0.14324547""","""Rt 2.8848 - Step 68"""
4,30,0.0021487612,"""0.5573469;0.38955095""","""Rt 0.0000 - Step 33"""
4,31,0.0598566,"""0.7210941;0.015418008""","""Rt 2.8962 - Step 68"""
4,32,0.037813224,"""0.91337025;0.50766045""","""Rt 0.0000 - Step 24"""
4,33,0.02251165,"""0.793252;0.3673346""","""Rt 0.0000 - Step 1"""
4,34,0.0045996523,"""0.8177638;0.7788005""","""Rt 0.0000 - Step 14"""
4,35,0.013111392,"""0.8660323;0.7957598""","""Rt 0.0000 - Step 17"""
