generation,index,fitness,individual,state
2,1,2.287314e-5,"""0.62950176;0.54083484""","""Rt 0.0000"""
2,2,2.299104e-5,"""0.31596985;0.5318964""","""Rt 0.0000"""
2,3,0.0024104314,"""0.25599805;0.033098463""","""Rt 3.1650"""
2,4,2.3018543e-5,"""0.36147144;0.84698653""","""Rt 0.0000"""
2,5,2.3020513e-5,"""0.05284346;0.87022316""","""Rt 0.0000"""
2,6,2.3019196e-5,"""0.07908524;0.64635307""","""Rt 0.0000"""
2,7,0.00021516094,"""0.45033008;0.55966944""","""Rt 0.0000"""
2,8,2.294969e-5,"""0.37092832;0.5145077""","""Rt 0.0000"""
2,9,0.00027234002,"""0.4834699;0.36808792""","""Rt 0.0000"""
2,10,2.3020373e-5,"""0.15498556;0.6754162""","""Rt 0.0000"""
2,11,2.3020513e-5,"""0.009964467;0.5663057""","""Rt 0.0000"""
2,12,9.247511e-5,"""0.58003396;0.8354926""","""Rt 0.0000"""
2,13,2.2950768e-5,"""0.40675575;0.7805314""","""Rt 0.0000"""
2,14,2.3314904e-5,"""0.43075913;0.6436483""","""Rt 0.0000"""
2,15,2.3020513e-5,"""0.11560871;0.66491944""","""Rt 0.0000"""
2,16,3.3755903e-5,"""0.41023988;0.57368654""","""Rt 0.0000"""
2,17,2.3008217e-5,"""0.36882165;0.7593956""","""Rt 0.0000"""
2,18,0.00012909259,"""0.59560627;0.6475529""","""Rt 0.0000"""
2,19,0.00080373016,"""0.37862104;0.23798016""","""Rt 0.0000"""
2,20,0.0008667998,"""0.56752545;0.45007807""","""Rt 0.0000"""
2,21,0.00035851463,"""0.71885294;0.7070102""","""Rt 0.0000"""
2,22,0.0039428333,"""0.3663856;0.06205166""","""Rt 3.4258"""
2,23,0.05469327,"""0.7245696;0.043896083""","""Rt 2.9775"""
2,24,0.040556375,"""0.9333495;0.24028876""","""Rt 0.0000"""
2,25,0.04363002,"""0.6386197;0.039507512""","""Rt 2.9856"""
2,26,0.03691312,"""0.7698569;0.08706618""","""Rt 3.0108"""
2,27,0.03283834,"""0.8028759;0.18663754""","""Rt 2.9888"""
2,28,0.05756551,"""0.958928;0.837083""","""Rt 0.0000"""
2,29,0.03965208,"""0.95258427;0.35603896""","""Rt 2.9789"""
2,30,1.9943573e-5,"""0.05284346;0.039507512""","""Rt 0.0000"""
2,31,2.2999055e-5,"""0.6386197;0.87022316""","""Rt 0.0000"""
2,32,0.049395975,"""0.95258427;0.84698653""","""Rt 0.0000"""
2,33,2.4738707e-5,"""0.36147144;0.35603896""","""Rt 0.0000"""
2,34,0.0036034225,"""0.71885294;0.5318964""","""Rt 0.0000"""
2,35,2.6009593e-5,"""0.31596985;0.7070102""","""Rt 0.0000"""
2,36,0.041670423,"""0.59560627;0.043896083""","""Rt 3.0056"""
2,37,0.0027236484,"""0.7245696;0.6475529""","""Rt 0.0000"""
2,38,2.2950426e-5,"""0.4834699;0.6436483""","""Rt 0.0000"""
2,39,0.00039311574,"""0.43075913;0.36808792""","""Rt 0.0000"""
2,40,2.3909679e-5,"""0.3663856;0.6754162""","""Rt 0.0000"""
2,41,7.586296e-5,"""0.15498556;0.06205166""","""Rt 0.0000"""
2,42,0.07336373,"""0.958928;0.08706618""","""Rt 2.9742"""
2,43,0.00320273,"""0.7698569;0.837083""","""Rt 0.0000"""
2,44,2.3019817e-5,"""0.40675575;0.66491944""","""Rt 0.0000"""
2,45,2.3020095e-5,"""0.11560871;0.7805314""","""Rt 0.0000"""
2,46,2.4654826e-5,"""0.37862104;0.6283466""","""Rt 0.0000"""
